step     100 | total 661.862 | gen 13.224 | disc 0.651 | disc_acc 0.617 | rep 0.198 | mtok 23371 | util 0.737 | lr_m 4.95e-06 | lr_c 4.95e-07 | 0.83 step/s | mem 12.7GB
step     200 | total 283.615 | gen 5.663 | disc 0.482 | disc_acc 0.803 | rep 0.198 | mtok 23310 | util 0.737 | lr_m 9.95e-06 | lr_c 9.95e-07 | 4.09 step/s | mem 12.7GB
step     300 | total 219.431 | gen 4.381 | disc 0.399 | disc_acc 0.841 | rep 0.196 | mtok 23249 | util 0.734 | lr_m 1.49e-05 | lr_c 1.50e-06 | 4.08 step/s | mem 12.7GB
step     400 | total 200.420 | gen 4.002 | disc 0.310 | disc_acc 0.883 | rep 0.192 | mtok 23270 | util 0.739 | lr_m 2.00e-05 | lr_c 1.99e-06 | 3.84 step/s | mem 12.7GB
step     500 | total 188.059 | gen 3.755 | disc 0.291 | disc_acc 0.891 | rep 0.190 | mtok 23337 | util 0.731 | lr_m 2.49e-05 | lr_c 2.50e-06 | 4.01 step/s | mem 12.7GB
step     600 | total 180.754 | gen 3.609 | disc 0.284 | disc_acc 0.893 | rep 0.188 | mtok 23410 | util 0.732 | lr_m 2.99e-05 | lr_c 3.00e-06 | 3.80 step/s | mem 12.7GB
step     700 | total 174.692 | gen 3.488 | disc 0.276 | disc_acc 0.896 | rep 0.187 | mtok 23530 | util 0.728 | lr_m 3.50e-05 | lr_c 3.50e-06 | 4.05 step/s | mem 12.7GB
step     800 | total 170.617 | gen 3.407 | disc 0.271 | disc_acc 0.898 | rep 0.186 | mtok 23440 | util 0.730 | lr_m 4.00e-05 | lr_c 4.00e-06 | 4.03 step/s | mem 12.7GB
step     900 | total 163.649 | gen 3.268 | disc 0.267 | disc_acc 0.899 | rep 0.186 | mtok 23193 | util 0.737 | lr_m 4.50e-05 | lr_c 4.50e-06 | 4.03 step/s | mem 12.7GB
step    1000 | total 158.295 | gen 3.161 | disc 0.257 | disc_acc 0.903 | rep 0.185 | mtok 23255 | util 0.734 | lr_m 5.00e-05 | lr_c 5.00e-06 | 4.02 step/s | mem 12.7GB
step    1100 | total 154.939 | gen 3.094 | disc 0.253 | disc_acc 0.905 | rep 0.184 | mtok 23205 | util 0.734 | lr_m 5.50e-05 | lr_c 5.50e-06 | 4.01 step/s | mem 12.7GB
step    1200 | total 152.463 | gen 3.044 | disc 0.246 | disc_acc 0.907 | rep 0.184 | mtok 23332 | util 0.730 | lr_m 6.00e-05 | lr_c 6.00e-06 | 4.01 step/s | mem 12.7GB
step    1300 | total 149.996 | gen 2.995 | disc 0.240 | disc_acc 0.909 | rep 0.183 | mtok 23340 | util 0.728 | lr_m 6.49e-05 | lr_c 6.49e-06 | 4.01 step/s | mem 12.7GB
step    1400 | total 148.958 | gen 2.974 | disc 0.236 | disc_acc 0.911 | rep 0.183 | mtok 23487 | util 0.728 | lr_m 7.00e-05 | lr_c 7.00e-06 | 4.00 step/s | mem 12.7GB
step    1500 | total 147.282 | gen 2.941 | disc 0.236 | disc_acc 0.911 | rep 0.182 | mtok 23155 | util 0.733 | lr_m 7.50e-05 | lr_c 7.50e-06 | 4.00 step/s | mem 12.7GB
step    1600 | total 143.958 | gen 2.875 | disc 0.230 | disc_acc 0.913 | rep 0.182 | mtok 23296 | util 0.738 | lr_m 8.00e-05 | lr_c 8.00e-06 | 3.99 step/s | mem 12.7GB
step    1700 | total 142.659 | gen 2.849 | disc 0.227 | disc_acc 0.915 | rep 0.181 | mtok 23171 | util 0.738 | lr_m 8.50e-05 | lr_c 8.50e-06 | 3.99 step/s | mem 12.7GB
step    1800 | total 141.328 | gen 2.822 | disc 0.225 | disc_acc 0.915 | rep 0.181 | mtok 23240 | util 0.734 | lr_m 8.99e-05 | lr_c 8.99e-06 | 3.88 step/s | mem 12.7GB
step    1900 | total 139.881 | gen 2.793 | disc 0.218 | disc_acc 0.918 | rep 0.181 | mtok 23393 | util 0.727 | lr_m 9.50e-05 | lr_c 9.50e-06 | 3.96 step/s | mem 12.7GB
step    2000 | total 139.859 | gen 2.793 | disc 0.217 | disc_acc 0.919 | rep 0.180 | mtok 23432 | util 0.730 | lr_m 1.00e-04 | lr_c 1.00e-05 | 3.81 step/s | mem 12.7GB
step    2100 | total 138.537 | gen 2.766 | disc 0.216 | disc_acc 0.919 | rep 0.180 | mtok 23233 | util 0.735 | lr_m 1.05e-04 | lr_c 1.05e-05 | 4.01 step/s | mem 12.7GB
step    2200 | total 136.465 | gen 2.725 | disc 0.211 | disc_acc 0.921 | rep 0.180 | mtok 23334 | util 0.740 | lr_m 1.10e-04 | lr_c 1.10e-05 | 4.01 step/s | mem 12.7GB
step    2300 | total 135.395 | gen 2.704 | disc 0.208 | disc_acc 0.922 | rep 0.179 | mtok 23208 | util 0.735 | lr_m 1.15e-04 | lr_c 1.15e-05 | 4.00 step/s | mem 12.7GB
step    2400 | total 134.865 | gen 2.693 | disc 0.205 | disc_acc 0.923 | rep 0.179 | mtok 23337 | util 0.732 | lr_m 1.20e-04 | lr_c 1.20e-05 | 3.99 step/s | mem 12.7GB
step    2500 | total 133.613 | gen 2.668 | disc 0.202 | disc_acc 0.925 | rep 0.178 | mtok 23352 | util 0.728 | lr_m 1.25e-04 | lr_c 1.25e-05 | 3.99 step/s | mem 12.7GB
